Variable,Source,Isotope,value
mean,ICD,d13C,-26.3
s.d.,ICD,d13C,0.67
mean,TS,d13C,-27.062703582485604
s.d.,TS,d13C,1.0356297291507843
mean,M_Young,d13C,-21.045161290322582
s.d.,M_Young,d13C,2.571489673279831
mean,M_old,d13C,-22.702325581395357
s.d.,M_old,d13C,3.5198409306652723
mean,ICD,D14C,-961.8029657004458
s.d.,ICD,D14C,60.96056682077142
mean,TS,D14C,-172.8602577035826
s.d.,TS,D14C,163.20299280442077
mean,M_Young,D14C,-50.376
s.d.,M_Young,D14C,12.390215090949788
mean,M_old,D14C,-16.454166666666666
s.d.,M_old,D14C,52.68614143436986
